step,loss
0,11.125
1,7.15625
2,5.875
3,3.984375
4,13.4375
5,12.1875
6,3.765625
7,5.0625
8,4.15625
9,0.96484375
10,8.625
11,5.28125
12,5.09375
13,6.625
14,4.0
15,9.375
16,7.0625
17,5.28125
18,4.625
19,1.7890625
20,1.453125
21,2.0625
22,2.984375
23,2.234375
24,5.53125
25,2.859375
26,4.3125
27,5.3125
28,2.546875
29,5.15625
30,2.0
31,4.1875
32,3.859375
33,6.0625
34,1.8671875
35,4.96875
36,1.8203125
37,6.03125
38,1.3359375
39,1.515625
40,1.1953125
41,1.421875
42,3.15625
43,4.96875
44,5.5
45,1.53125
46,2.0625
47,3.078125
48,3.375
49,2.78125
50,2.34375
51,3.203125
52,2.609375
53,2.578125
54,4.25
55,3.578125
56,6.21875
57,3.734375
58,4.8125
59,2.859375
60,3.546875
61,0.8359375
62,4.375
63,4.71875
64,2.203125
65,2.015625
66,3.703125
67,3.234375
68,1.296875
69,1.515625
70,1.5703125
71,3.984375
72,3.671875
73,5.46875
74,3.03125
75,6.59375
76,1.8828125
77,2.875
78,1.3984375
79,0.984375
80,4.65625
81,2.78125
82,2.9375
83,2.59375
84,5.5
85,0.98046875
86,1.4453125
87,2.015625
88,4.53125
89,1.0234375
90,1.9296875
91,1.4453125
92,2.5625
93,2.703125
94,3.484375
95,6.1875
96,2.265625
97,1.8359375
98,6.1875
99,5.15625
100,1.2734375
101,2.90625
102,1.59375
103,0.54296875
104,1.3046875
105,2.171875
106,2.484375
107,1.5546875
108,1.625
109,0.60546875
110,2.125
111,2.046875
112,5.96875
113,1.9609375
114,2.390625
115,3.921875
116,2.65625
117,3.96875
118,2.109375
119,3.140625
120,3.421875
121,2.3125
122,3.6875
123,1.4140625
124,0.63671875
125,5.5625
126,3.40625
127,6.75
128,2.40625
129,2.71875
130,3.34375
131,4.90625
132,6.28125
133,2.203125
134,5.34375
135,1.4609375
136,1.53125
137,2.515625
138,3.15625
139,4.90625
140,3.671875
141,1.734375
142,2.359375
143,1.6796875
144,2.15625
145,0.6171875
146,1.078125
147,2.15625
148,2.25
149,3.5
150,3.171875
151,3.1875
152,3.328125
153,0.8984375
154,0.87890625
155,2.65625
156,4.03125
157,3.0625
158,3.015625
159,2.171875
160,3.28125
161,1.8046875
162,4.125
163,1.4140625
164,4.25
165,4.5
166,3.359375
167,3.1875
168,3.5
169,2.78125
170,3.53125
171,2.953125
172,0.5546875
173,2.015625
174,1.1796875
175,2.046875
176,1.8125
177,1.640625
178,2.875
179,4.59375
180,0.65234375
181,7.25
182,3.75
183,1.46875
184,2.046875
185,3.0625
186,0.77734375
187,1.5859375
188,2.1875
189,0.51953125
190,4.28125
191,2.890625
192,4.46875
193,1.0
194,2.578125
195,1.90625
196,5.0
197,1.71875
198,6.59375
199,0.6015625
200,1.2578125
201,4.25
202,0.43359375
203,1.2265625
204,1.875
205,2.921875
206,2.859375
207,1.8828125
208,1.09375
209,7.8125
210,2.390625
211,1.8125
212,1.2578125
213,0.671875
214,1.9765625
215,1.59375
216,2.796875
217,2.03125
218,1.875
219,3.0625
220,1.0859375
221,3.140625
222,1.265625
223,0.7265625
224,0.96875
225,3.6875
226,4.03125
227,4.53125
228,2.59375
229,1.9921875
230,0.82421875
231,0.7890625
232,3.078125
233,3.65625
234,3.578125
235,2.265625
236,1.1484375
237,2.875
238,2.5625
239,0.94921875
240,2.78125
241,0.64453125
242,4.03125
243,1.2421875
244,3.171875
245,1.9765625
246,0.5859375
247,2.828125
248,3.9375
249,1.140625
250,2.5
251,3.90625
252,5.0625
253,6.15625
254,2.609375
255,2.4375
256,2.453125
257,1.8359375
258,1.890625
259,2.640625
260,1.609375
261,4.84375
262,3.859375
263,0.86328125
264,0.81640625
265,5.28125
266,1.9921875
267,5.8125
268,0.828125
269,0.984375
270,0.90234375
271,2.890625
272,6.03125
273,2.40625
274,3.453125
275,3.015625
276,2.3125
277,2.984375
278,3.65625
279,3.3125
280,5.8125
281,0.7421875
282,5.1875
283,3.109375
284,2.34375
285,0.8203125
286,1.8671875
287,1.671875
288,0.6875
289,4.09375
290,2.890625
291,1.171875
292,2.953125
293,3.65625
294,0.7578125
295,1.59375
296,2.171875
297,2.1875
298,3.609375
299,3.34375
300,3.515625
301,7.75
302,3.203125
303,4.84375
304,3.125
305,3.6875
306,3.9375
307,0.8046875
308,0.625
309,1.609375
310,0.62890625
311,2.0625
312,2.296875
313,1.0859375
314,2.671875
315,2.859375
316,1.703125
317,2.71875
318,2.546875
319,2.234375
320,3.53125
321,3.234375
322,2.84375
323,1.015625
324,3.5625
325,0.60546875
326,1.5546875
327,1.328125
328,4.46875
329,3.109375
330,2.171875
331,1.8984375
332,4.34375
333,2.515625
334,2.75
335,2.6875
336,2.953125
337,3.828125
338,2.171875
339,4.5625
340,4.0
341,1.6015625
342,3.28125
343,4.65625
344,2.28125
345,9.375
346,5.46875
347,3.5
348,1.1796875
349,2.890625
350,3.03125
351,2.640625
352,1.75
353,4.96875
354,2.359375
355,1.7109375
356,3.8125
357,4.65625
358,2.6875
359,1.5703125
360,2.53125
361,2.5625
362,2.25
363,1.8515625
364,1.9453125
365,2.71875
366,0.890625
367,3.875
368,3.46875
369,3.0
370,0.8828125
371,3.359375
372,1.6171875
373,5.25
374,3.84375
375,3.140625
376,0.98046875
377,4.875
378,2.671875
379,1.0546875
380,1.3828125
381,3.078125
382,1.1640625
383,3.234375
384,2.140625
385,3.671875
386,3.8125
387,1.0
388,4.5
389,4.09375
390,6.96875
391,2.9375
392,2.140625
393,5.84375
394,5.875
395,3.25
396,3.453125
397,1.8125
398,1.3828125
399,0.9140625
400,2.765625
401,1.40625
402,0.84375
403,3.171875
404,2.359375
405,0.65625
406,2.296875
407,2.390625
408,2.578125
409,0.75390625
410,4.1875
411,1.3828125
412,3.640625
413,4.5625
414,3.671875
415,5.96875
416,4.1875
417,1.90625
418,2.046875
419,4.6875
420,0.66796875
421,1.9140625
422,3.375
423,4.78125
424,1.8046875
425,2.8125
426,2.296875
427,1.0390625
428,1.9921875
429,1.6484375
430,0.9140625
431,4.5
432,2.390625
433,2.03125
434,2.546875
435,2.109375
436,5.65625
437,6.53125
438,2.28125
439,4.96875
440,0.90234375
441,2.25
442,3.3125
443,5.0625
444,2.46875
445,3.1875
446,1.953125
447,6.46875
448,4.78125
449,6.5625
450,3.015625
451,1.1640625
452,1.7109375
453,4.125
454,3.15625
455,5.03125
456,1.3671875
457,1.7890625
458,1.734375
459,4.125
460,4.53125
461,3.578125
462,0.77734375
463,1.546875
464,4.5625
465,4.40625
466,1.3984375
467,2.03125
468,2.109375
469,3.5
470,2.21875
471,1.4140625
472,5.09375
473,3.40625
474,3.34375
475,4.40625
476,1.90625
477,2.484375
478,1.84375
479,1.3359375
480,2.765625
481,9.125
482,3.625
483,3.828125
484,1.8046875
485,4.8125
486,1.84375
487,1.1484375
488,1.3828125
489,1.5078125
490,1.84375
491,2.921875
492,2.859375
493,2.234375
494,4.1875
495,2.796875
496,1.2109375
497,2.5625
498,1.921875
499,3.5
500,0.85546875
501,3.34375
502,2.5
503,2.859375
504,2.96875
505,0.91796875
506,2.796875
507,1.359375
508,3.796875
509,2.390625
510,5.59375
511,5.65625
512,1.703125
513,1.1796875
514,2.21875
515,0.61328125
516,2.703125
517,1.921875
518,1.8828125
519,2.796875
520,2.859375
521,3.328125
522,1.21875
523,2.234375
524,1.421875
525,1.3984375
526,1.6875
527,2.296875
528,4.53125
529,2.796875
530,2.28125
531,4.40625
532,2.703125
533,3.21875
534,1.4609375
535,2.578125
536,1.9375
537,2.765625
538,4.0
539,2.453125
540,3.8125
541,3.703125
542,2.46875
543,3.625
544,2.734375
545,2.46875
546,2.625
547,3.109375
548,0.99609375
549,0.7109375
550,3.28125
551,0.6171875
552,3.265625
553,2.734375
554,2.1875
555,1.734375
556,7.65625
557,5.34375
558,3.03125
559,3.671875
560,2.21875
561,2.5
562,2.796875
563,4.78125
564,3.609375
565,0.81640625
566,0.78515625
567,4.46875
568,3.921875
569,3.375
570,0.9765625
571,4.90625
572,4.03125
573,3.453125
574,2.1875
575,0.59375
576,0.4921875
577,1.0
578,4.28125
579,2.421875
580,1.984375
581,3.34375
582,2.03125
583,3.84375
584,1.7265625
585,1.3359375
586,3.0625
587,2.671875
588,2.59375
589,3.171875
590,2.875
591,0.61328125
592,1.328125
593,0.609375
594,2.875
595,1.6640625
596,2.640625
597,4.28125
598,0.7890625
599,3.484375
600,1.6328125
601,3.59375
602,0.84375
603,0.65625
604,2.515625
605,1.453125
606,1.2734375
607,3.578125
608,5.78125
609,0.67578125
610,3.453125
611,1.4296875
612,2.09375
613,2.90625
614,3.3125
615,0.65625
616,2.265625
617,1.8359375
618,3.578125
619,5.375
620,2.9375
621,5.6875
622,1.7265625
623,1.578125
624,0.75390625
625,3.875
626,3.25
627,1.953125
628,3.796875
629,1.6953125
630,2.328125
631,2.34375
632,3.265625
633,0.79296875
634,2.953125
635,3.140625
636,2.453125
637,2.53125
638,3.171875
639,2.78125
640,2.421875
641,5.625
642,3.015625
643,3.203125
644,0.62109375
645,0.67578125
646,2.375
647,3.8125
648,4.53125
649,1.34375
650,4.5
651,2.84375
652,1.46875
653,3.0
654,3.5625
655,3.03125
656,1.6875
657,0.94140625
658,1.3671875
659,1.109375
660,0.765625
661,4.03125
662,2.546875
663,3.453125
664,3.328125
665,5.25
666,2.0
667,2.5625
668,1.859375
669,1.984375
670,2.203125
671,0.64453125
672,3.171875
673,1.8828125
674,5.5
675,0.546875
676,2.0
677,1.4765625
678,2.28125
679,3.0
680,1.9921875
681,3.640625
682,2.609375
683,1.7890625
684,3.046875
685,0.6875
686,3.34375
687,0.6875
688,1.265625
689,1.75
690,2.984375
691,1.5546875
692,1.09375
693,3.296875
694,0.9765625
695,0.7109375
696,2.53125
697,5.78125
698,3.4375
699,5.0
700,3.078125
701,3.5625
702,4.78125
703,2.234375
704,0.62109375
705,2.21875
706,3.03125
707,3.25
708,2.421875
709,4.59375
710,3.0625
711,2.609375
712,2.953125
713,3.015625
714,1.5390625
715,1.1328125
716,0.83984375
717,1.9140625
718,3.296875
719,3.34375
720,4.03125
721,3.28125
722,1.421875
723,3.59375
724,5.09375
725,2.890625
726,2.65625
727,3.234375
728,4.625
729,1.4296875
730,2.234375
731,3.578125
732,1.5234375
733,2.375
734,1.3359375
735,0.72265625
736,3.515625
737,2.09375
738,6.8125
739,1.984375
740,2.296875
741,4.125
742,2.203125
743,3.71875
744,2.203125
745,4.1875
746,1.5546875
747,5.46875
748,1.71875
749,2.703125
750,2.765625
751,4.21875
752,4.59375
753,1.6640625
754,5.5625
755,1.5859375
756,0.859375
757,0.73828125
758,2.71875
759,3.90625
760,2.078125
761,2.1875
762,2.078125
763,1.59375
764,2.609375
765,2.53125
766,4.875
767,0.5078125
768,4.03125
769,3.328125
770,1.703125
771,2.734375
772,3.59375
773,0.82421875
774,2.734375
775,0.69921875
776,2.21875
777,3.15625
778,2.421875
779,1.734375
780,2.578125
781,2.578125
782,1.0859375
783,1.65625
784,2.59375
785,4.1875
786,2.515625
787,2.15625
788,4.1875
789,0.984375
790,0.71875
791,2.734375
792,1.03125
793,1.796875
794,1.9296875
795,3.296875
796,5.09375
797,4.25
798,2.75
799,2.015625
800,1.65625
801,2.859375
802,2.3125
803,0.8515625
804,4.5625
805,3.015625
806,2.734375
807,1.5234375
808,1.328125
809,1.3828125
810,2.546875
811,2.25
812,1.9453125
813,1.71875
814,0.921875
815,2.625
816,3.53125
817,4.125
818,1.53125
819,4.0
820,1.359375
821,1.7578125
822,2.796875
823,4.5625
824,2.40625
825,0.71875
826,1.7265625
827,0.69921875
828,1.4609375
829,3.96875
830,1.078125
831,3.296875
832,2.109375
833,1.390625
834,4.28125
835,3.078125
836,1.671875
837,1.5625
838,1.890625
839,2.109375
840,1.5546875
841,2.4375
842,1.1015625
843,2.015625
844,2.15625
845,1.609375
846,3.65625
847,2.625
848,2.109375
849,1.546875
850,4.6875
851,3.140625
852,3.328125
853,0.78125
854,2.46875
855,6.0
856,4.28125
857,0.8984375
858,4.40625
859,1.3828125
860,1.53125
861,0.96875
862,2.3125
863,1.640625
864,1.7734375
865,4.1875
866,1.78125
867,2.984375
868,2.484375
869,1.203125
870,3.984375
871,2.890625
872,2.171875
873,3.234375
874,3.140625
875,0.625
876,1.171875
877,3.5
878,1.3125
879,0.58984375
880,2.21875
881,1.3359375
882,2.46875
883,2.953125
884,4.21875
885,2.78125
886,2.28125
887,0.734375
888,2.421875
889,2.890625
890,1.6328125
891,3.28125
892,3.234375
893,4.59375
894,1.390625
895,2.359375
896,1.4921875
897,2.578125
898,2.65625
899,3.734375
900,3.140625
901,1.96875
902,1.7578125
903,3.03125
904,0.703125
905,2.921875
906,1.734375
907,1.3046875
908,2.53125
909,1.7109375
910,3.828125
911,2.828125
912,1.7734375
913,1.3515625
914,2.46875
915,3.125
916,0.62109375
917,5.03125
918,4.125
919,3.171875
920,0.7734375
921,1.5703125
922,3.109375
923,1.9609375
924,2.671875
925,2.84375
926,5.59375
927,0.73046875
928,3.03125
929,2.78125
930,3.375
931,2.84375
932,3.03125
933,5.34375
934,1.3984375
935,1.1484375
936,2.5
937,1.734375
938,2.421875
939,3.90625
940,2.515625
941,3.453125
942,2.1875
943,3.375
944,4.34375
945,4.03125
946,1.4765625
947,2.453125
948,1.921875
949,4.6875
950,1.71875
951,1.9140625
952,3.265625
953,1.6640625
954,6.4375
955,2.75
956,2.171875
957,5.28125
958,3.328125
959,1.6484375
960,2.546875
961,2.140625
962,6.09375
963,2.09375
964,1.203125
965,1.328125
966,2.734375
967,4.09375
968,2.203125
969,2.296875
970,6.75
971,1.0234375
972,5.46875
973,6.84375
974,5.875
975,2.828125
976,2.4375
977,3.03125
978,5.5
979,2.484375
980,3.0625
981,1.375
982,3.265625
983,3.25
984,2.109375
985,0.80078125
986,0.470703125
987,3.234375
988,1.7578125
989,2.109375
990,0.9296875
991,4.28125
992,2.15625
993,2.0625
994,1.3984375
995,1.65625
996,0.66796875
997,1.6328125
998,2.875
999,3.09375
